Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Indonesia,Cassava,120691,2702,2432,25.37
Indonesia,Cassava,120691,2702,2432,27.05
Indonesia,Cassava,120691,2702,2432,27.11
Indonesia,Cassava,120691,2702,2432,27.18
Indonesia,Cassava,120691,2702,2432,26.79
Indonesia,Cassava,120691,2702,2432,27.47
Indonesia,Maize,21323,2702,2432,25.37
Indonesia,Maize,21323,2702,2432,27.05
Indonesia,Maize,21323,2702,2432,27.11
Indonesia,Maize,21323,2702,2432,27.18
Indonesia,Maize,21323,2702,2432,26.79
Indonesia,Maize,21323,2702,2432,27.47
Indonesia,Potatoes,141637,2702,2432,25.37
Indonesia,Potatoes,141637,2702,2432,27.05
Indonesia,Potatoes,141637,2702,2432,27.11
Indonesia,Potatoes,141637,2702,2432,27.18
Indonesia,Potatoes,141637,2702,2432,26.79
Indonesia,Potatoes,141637,2702,2432,27.47
Indonesia,"Rice, paddy",43018,2702,2432,25.37
Indonesia,"Rice, paddy",43018,2702,2432,27.05
Indonesia,"Rice, paddy",43018,2702,2432,27.11
Indonesia,"Rice, paddy",43018,2702,2432,27.18
Indonesia,"Rice, paddy",43018,2702,2432,26.79
Indonesia,"Rice, paddy",43018,2702,2432,27.47
Indonesia,Soybeans,11149,2702,2432,25.37
Indonesia,Soybeans,11149,2702,2432,27.05
Indonesia,Soybeans,11149,2702,2432,27.11
Indonesia,Soybeans,11149,2702,2432,27.18
Indonesia,Soybeans,11149,2702,2432,26.79
Indonesia,Soybeans,11149,2702,2432,27.47
Indonesia,Sweet potatoes,94450,2702,2432,25.37
Indonesia,Sweet potatoes,94450,2702,2432,27.05
Indonesia,Sweet potatoes,94450,2702,2432,27.11
Indonesia,Sweet potatoes,94450,2702,2432,27.18
Indonesia,Sweet potatoes,94450,2702,2432,26.79
Indonesia,Sweet potatoes,94450,2702,2432,27.47
Indonesia,Cassava,120946,2702,3259,25.27
Indonesia,Cassava,120946,2702,3259,27.04
Indonesia,Cassava,120946,2702,3259,26.92
Indonesia,Cassava,120946,2702,3259,27.05
Indonesia,Cassava,120946,2702,3259,26.61
Indonesia,Cassava,120946,2702,3259,27.21
Indonesia,Maize,21505,2702,3259,25.27
Indonesia,Maize,21505,2702,3259,27.04
Indonesia,Maize,21505,2702,3259,26.92
Indonesia,Maize,21505,2702,3259,27.05
Indonesia,Maize,21505,2702,3259,26.61
Indonesia,Maize,21505,2702,3259,27.21
Indonesia,Potatoes,132721,2702,3259,25.27
Indonesia,Potatoes,132721,2702,3259,27.04
Indonesia,Potatoes,132721,2702,3259,26.92
Indonesia,Potatoes,132721,2702,3259,27.05
Indonesia,Potatoes,132721,2702,3259,26.61
Indonesia,Potatoes,132721,2702,3259,27.21
Indonesia,"Rice, paddy",43465,2702,3259,25.27
Indonesia,"Rice, paddy",43465,2702,3259,27.04
Indonesia,"Rice, paddy",43465,2702,3259,26.92
Indonesia,"Rice, paddy",43465,2702,3259,27.05
Indonesia,"Rice, paddy",43465,2702,3259,26.61
Indonesia,"Rice, paddy",43465,2702,3259,27.21
Indonesia,Soybeans,11369,2702,3259,25.27
Indonesia,Soybeans,11369,2702,3259,27.04
Indonesia,Soybeans,11369,2702,3259,26.92
Indonesia,Soybeans,11369,2702,3259,27.05
Indonesia,Soybeans,11369,2702,3259,26.61
Indonesia,Soybeans,11369,2702,3259,27.21
Indonesia,Sweet potatoes,95150,2702,3259,25.27
Indonesia,Sweet potatoes,95150,2702,3259,27.04
Indonesia,Sweet potatoes,95150,2702,3259,26.92
Indonesia,Sweet potatoes,95150,2702,3259,27.05
Indonesia,Sweet potatoes,95150,2702,3259,26.61
